timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode,received_power_watts,snr,snr_db,theoretical_throughput_bps,theoretical_throughput_mbps,mcs_index,spectral_efficiency_bpshz,throughput_mbps_mcs
0.0,V2I,BS_1,we_0,-96.91,126.91,1120.38,False,1,2.034854695189e-13,2.034854695189e-13,1.0,inf,inf,D,2.0370420777057234e-13,0.5090060164182216,-2.932770843001916,59359855.791193165,59.35985579119316,1,0.38,38.0
1.0,V2I,BS_1,we_0,-96.7,126.7,1092.52,False,1,2.1399736768380003e-13,2.1399736768380003e-13,1.0,inf,inf,D,2.137962089502233e-13,0.5342234106702229,-2.7227708430019257,61750858.062281445,61.750858062281445,1,0.38,38.0
1.0,V2I,BS_1,we_1,-96.87,126.87,1114.61,False,1,2.0559681649070003e-13,2.0559681649070003e-13,1.0,inf,inf,D,2.055890595984136e-13,0.5137157911004837,-2.892770843001938,59809435.64069013,59.80943564069013,1,0.38,38.0
1.0,V2I,BS_1,sn_0,-96.72,126.72,1095.89,False,1,2.126800219074e-13,2.126800219074e-13,1.0,inf,inf,D,2.128139045982709e-13,0.5317688770571486,-2.7427708430019324,61519863.07628826,61.51986307628826,1,0.38,38.0
1.0,V2I,BS_1,ew_0,-73.59,103.59,0.49,True,2,4.370233862294e-11,3.7909599071020005e-11,0.86745,6.54433,8.16,D,4.3752210515825197e-11,109.32586335788405,20.387229156998075,678562722.6979983,678.5627226979983,6,4.4,440.00000000000006
1.0,V2I,BS_1,ns_0,-74.44,104.44,0.11,True,2,3.600147956172e-11,3.5776430429290006e-11,0.993749,158.971643,22.01,D,3.5974933515574235e-11,89.892387595138,19.537229156998073,650608756.5999506,650.6087565999505,5,3.3,330.0
1.0,V2V,we_0,we_1,-55.46,78.46,0.02,True,2,2.841623279278e-09,2.841247746296e-09,0.999868,7565.907345,38.79,D,2.8444611074479142e-09,7107.598969135217,38.51722915699807,1279534953.2347517,1279.5349532347514,7,5.5,550.0
1.0,V2V,we_1,we_0,-55.46,78.46,0.02,True,2,2.841623073161e-09,2.841247746296e-09,0.999868,7570.062272,38.79,D,2.8444611074479142e-09,7107.598969135217,38.51722915699807,1279534953.2347517,1279.5349532347514,7,5.5,550.0
2.0,V2I,BS_1,we_0,-96.47,126.47,1064.77,False,1,2.252962339025e-13,2.252962339025e-13,1.0,inf,inf,D,2.2542392121524281e-13,0.5632781639561288,-2.4927708430019293,64457450.901864536,64.45745090186453,1,0.38,38.0
2.0,V2I,BS_1,we_1,-96.64,126.64,1085.85,False,1,2.1663463692579997e-13,2.1663463692579997e-13,1.0,inf,inf,D,2.167704104819696e-13,0.5416551986056212,-2.6627708430019235,62448013.30312515,62.44801330312515,1,0.38,38.0
2.0,V2I,BS_1,we_2,-96.82,126.82,1108.48,False,1,2.0787876914909997e-13,2.0787876914909997e-13,1.0,inf,inf,D,2.079696687103702e-13,0.5196643396061223,-2.8427708430019134,60375269.92856823,60.37526992856823,1,0.38,38.0
2.0,V2I,BS_1,sn_0,-96.49,126.49,1066.47,False,1,2.245783145039e-13,2.245783145039e-13,1.0,inf,inf,D,2.243881923782771e-13,0.5606901358777537,-2.5127708430019178,64218412.87265485,64.21841287265485,1,0.38,38.0
2.0,V2I,BS_1,sn_1,-96.67,126.67,1089.16,False,1,2.1531745425019997e-13,2.1531745425019997e-13,1.0,inf,inf,D,2.152781734724374e-13,0.5379264704458705,-2.692770843001924,62098652.84889688,62.09865284889688,1,0.38,38.0
2.0,V2I,BS_1,sn_2,-96.86,126.86,1113.42,False,1,2.060366306689e-13,2.060366306689e-13,1.0,inf,inf,D,2.0606299132700007e-13,0.5149000283033484,-2.882770843001926,59922259.01141518,59.922259011415186,1,0.38,38.0
2.0,V2I,BS_1,ew_0,-73.9,103.9,0.15,True,2,4.0755946550560006e-11,4.0364416670210005e-11,0.990393,103.09409,20.13,D,4.0738027780411224e-11,101.79417236484562,20.07722915699807,668361466.6965533,668.3614666965533,6,4.4,440.00000000000006
2.0,V2I,BS_1,ew_1,-74.12,104.12,0.13,True,2,3.876859667714e-11,3.845197077412e-11,0.991833,121.442909,20.84,D,3.872576449216165e-11,96.76602821629596,19.857229156998063,661126133.8816785,661.1261338816785,5,3.3,330.0
2.0,V2I,BS_1,ns_0,-73.56,103.56,0.49,True,2,4.4064297349820006e-11,3.817497359893e-11,0.866347,6.482064,8.12,D,4.4055486350655335e-11,110.08367403961851,20.417229156998076,679550298.9284675,679.5502989284676,6,4.4,440.00000000000006
2.0,V2I,BS_1,ns_1,-73.7,103.7,0.5,True,2,4.264318065328e-11,3.628065903261e-11,0.850796,5.702245,7.56,D,4.2657951880159254e-11,106.5915839084439,20.277229156998075,674942142.0750834,674.9421420750833,6,4.4,440.00000000000006
